rival,key_tags,lkp_tags,ranked,industry,counted,link,Company
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",2,Commercial Real Estate,20,"http://www.pressreader.com/usa/the-dallas-morning-news/20180726/282544429101196,https://archpaper.com/2018/07/wework-data-meteoric-expansion/,https://techstartups.com/2018/07/19/wework-competitor-swivel-raises-4-75-million-seed-round-grow-platform-expand-new-cities-hire-new-staff/,http://www.globest.com/2018/07/19/wework-once-again-expands-nyc-footprint/,http://milehighcre.com/wework-continues-denver-expansion-into-wells-fargo-center/,https://www.hospitalitydesign.com/news/retail-commercial/wework-introduces-retail-concept-wemrkt/,https://theurbandeveloper.com/articles/co-working-giant-wework-expands-into-brisbane,http://www.chicpeoplemeet.com/m/mnews/view/WeWork-Introduces-Retail-Format-for-Its-Members,https://www.businesspost.ie/business/wework-says-dublin-obvious-choice-expansion-office-space-giant-hunt-irish-properties-419661,https://www.fastcompany.com/40585209/as-wework-expands-globally-so-does-its-revenue,http://www.chicagotribune.com/business/columnists/ori/ct-biz-wework-chicago-expansion-ryan-ori-20180612-story.html,https://sbr.com.sg/commercial-property/news/daily-briefing-wework-eyes-more-flex-work-spaces-in-singapore-singapore-ben,https://www.cnbc.com/2018/06/06/innovfest-unbound-wework-to-expand-in-southeast-asia.html,https://www.oregonlive.com/expo/erry-2018/06/8d94f4baba1004/wework_opens_third_portland_lo.html,https://www.businesstimes.com.sg/technology/chinese-wework-rival-said-to-seek-fresh-funding-to-expand,https://businessden.com/2018/05/29/wework-mulls-expansion-into-wells-fargo-center/,https://www.inman.com/2018/05/29/how-a-luxury-brokerage-is-using-wework-to-expand-across-la/,https://techcrunch.com/2017/08/06/in-its-push-to-compete-in-southeast-asia-wework-is-pouring-500-million-into-the-region/,https://www.msn.com/en-gb/video/other/convene-ceo-on-expansion-plans-taking-on-wework/vp-AAzRjv9,https://finance-commerce.com/2018/07/wework-rival-raises-152m-for-expansion/",
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",3,Commercial Real Estate,1,https://www.hedgeweek.com/2018/06/13/265243/lawson-conner-announces-collaboration-wework-provide-special-offerings-clients,Lawson Connor
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",4,Female-only co-working space and social club,1,https://mashable.com/2017/11/21/the-wing-wework-series-b/#9aPbvr1plqqh,The Wing
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",4,Hospitality,1,https://www.wework.com/creator/creator-awards/grasshoppers-new-sushi-says-hargol-foodtech/,Hargol FoodTech
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",4,Media Platform for Veterans,1,https://www.wework.com/creator/younginnovators/young-innovators-victor-gutwein-m25-group/,Victor Tech Inc
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",4,Surfing,1,https://mashable.com/2017/11/21/the-wing-wework-series-b/#9aPbvr1plqqh,The Wing
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",4,Women only Technology Boot Camp (Coding),1,https://www.americaninno.com/chicago/chicago-girls-in-tech-nonprofit-brave-initiatives-wins-at-wework-awards/,Brave Initiatives
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",5,Building IT consultancy,1,https://www.archdaily.com/771390/as-wework-acquires-case-the-future-of-office-design-may-start-today,CASE
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",5,Construction Company,1,https://techcrunch.com/2017/06/07/wework-has-acquired-venture-backed-fieldlens/,Fieldlens
wework,"{'LAWSON CONNER', 'BRING PEOPLE TOGETHER OUTSIDE OF WORK', 'HARGOL', 'WELKIO', '$500 MILLION', 'NAKED HUB', 'FLATIRON SCHOOL', 'ISRAELI', 'ITS CODE BOOTCAMPS FOR GIRLS', 'UNOMY', 'SOUTHEAST ASIA', 'VICTOR GUTWEIN', 'SEO', 'M25 GROUP', 'THE FUTURE OF OFFICE DESIGN', 'LAST WEEK', '$32 MILLION', 'THE WING', 'DROR TAMIR', 'CHINA', 'MAY START', 'FIELDLENS'}","{'$4.75 MILLION', 'CHICAGO', '$152M', 'SINGAPORE', 'LA', 'DUBLIN', 'SEA', 'PORTLAND', 'SOUTHEAST ASIA', '$500 MILLION', 'WELLS FARGO CENTER'}",5,Digital Marketing,2,"https://techcrunch.com/2018/03/06/wework-acquires-conductor/,https://techcrunch.com/2017/08/10/wework-unomy/?ncid=rss","Conductor,Unomy"
